id,name,template_id/id,state_id/id,company_id/id
academic_subject_1,Lengua y Literatura,academic_subject_template_1,state_demo_us_ca,res_company_los_arroyos
academic_subject_2,Historia,academic_subject_template_2,state_demo_us_ca,res_company_los_arroyos
academic_subject_3,Geografia,academic_subject_template_3,state_demo_us_ca,res_company_los_arroyos
academic_subject_4,Matematica,academic_subject_template_4,state_demo_us_ca,res_company_los_arroyos
academic_subject_5,Ciencias Naturales,academic_subject_template_5,state_demo_us_ca,res_company_los_arroyos
academic_subject_6,Educacion Fisica,academic_subject_template_6,state_demo_us_ca,res_company_los_arroyos
academic_subject_7,Ingles,academic_subject_template_7,state_demo_us_ca,res_company_los_arroyos
academic_subject_8,Arte y Plastica,academic_subject_template_8,state_demo_us_ca,res_company_los_arroyos
academic_subject_9,Musica,academic_subject_template_9,state_demo_us_ca,res_company_los_arroyos
academic_subject_10,Informatica,academic_subject_template_10,state_demo_us_ca,res_company_los_arroyos
academic_subject_11,Fisica,academic_subject_template_11,state_demo_ar_ba,res_company_facultad_ingenieria
academic_subject_12,Quimica,academic_subject_template_12,state_demo_ar_ba,res_company_facultad_ingenieria
academic_subject_13,Biologia,academic_subject_template_13,state_demo_ar_ba,res_company_facultad_ingenieria
academic_subject_14,Filosofia,academic_subject_template_14,state_demo_ar_ba,res_company_facultad_ingenieria
academic_subject_15,Educacion Civica,academic_subject_template_15,state_demo_ar_ba,res_company_facultad_ingenieria
