id,description,title,sequence,survey_id/id
survey_page_5,,Desempeño docente,10,survey_survey_4
survey_page_6,,Agenda del director,10,survey_survey_2
survey_page_20,,1) Un submarino estaba a -75metros respecto del nivel del mar y ahora está a -22metros.,10,survey_survey_6
survey_page_7,"<span id=""docs-internal-guid-351e4dec-446d-9ea4-f5e8-9b391ce429f8""><p dir=""ltr"" style=""line-height:1.1500000000000001;margin-top:0pt;margin-bottom:0pt;text-indent: 35.4pt;text-align: justify;""><span style=""font-family: Arial; color: rgb(0, 0, 0); font-style: italic; vertical-align: baseline; white-space: pre-wrap;"">Era noble, había nacido entre el estruendo de las armas, y el insólito clamor de una trompa de guerra no le hubiera hecho levantar la cabeza un instante ni apartar sus ojos un punto del oscuro pergamino en que leía la última cantiga de un trovador.</span></p><p dir=""ltr"" style=""line-height:1.1500000000000001;margin-top:0pt;margin-bottom:0pt;text-indent: 35.4pt;text-align: justify;""><span style=""font-family: Arial; color: rgb(0, 0, 0); font-style: italic; vertical-align: baseline; white-space: pre-wrap;"">Los que quisieran encontrarle, no lo debían buscar en el anchuroso patio de su castillo, donde los palafreneros domaban los potros, los pajes enseñaban a volar a los halcones, y los soldados se entretenían los días de reposo en afilar el hierro de su lanza contra una piedra.</span></p><p dir=""ltr"" style=""line-height:1.1500000000000001;margin-top:0pt;margin-bottom:0pt;text-indent: 35.4pt;text-align: justify;""><span style=""font-family: Arial; color: rgb(0, 0, 0); font-style: italic; vertical-align: baseline; white-space: pre-wrap;"">-¿Dónde está Manrique, dónde está vuestro señor? -preguntaba algunas veces su madre.</span></p><p dir=""ltr"" style=""line-height:1.1500000000000001;margin-top:0pt;margin-bottom:0pt;text-indent: 35.4pt;text-align: justify;""><span style=""font-family: Arial; color: rgb(0, 0, 0); font-style: italic; vertical-align: baseline; white-space: pre-wrap;"">-No sabemos -respondían sus servidores:- acaso estará en el claustro del monasterio de la Peña, sentado al borde de una tumba, prestando oído a ver si sorprende alguna palabra de la conversación de los muertos; o en el puente, mirando correr unas tras otras las olas del río por debajo de sus arcos; o acurrucado en la quiebra de una roca y entretenido en contar las estrellas del cielo, en seguir una nube con la vista o contemplar los fuegos fatuos que cruzan como exhalaciones sobre el haz de las lagunas. En cualquiera parte estará menos en donde esté todo el mundo.</span></p><p dir=""ltr"" style=""line-height:1.1500000000000001;margin-top:0pt;margin-bottom:0pt;text-indent: 35.4pt;text-align: justify;""><span style=""font-family: Arial; color: rgb(0, 0, 0); font-style: italic; vertical-align: baseline; white-space: pre-wrap;"">En efecto, Manrique amaba la soledad, y la amaba de tal modo, que algunas veces hubiera deseado no tener sombra, porque su sombra no le siguiese a todas partes.</span></p><br><span style=""font-family: Arial; color: rgb(0, 0, 0); font-weight: bold; font-style: italic; vertical-align: baseline; white-space: pre-wrap;""></span><p dir=""ltr"" style=""line-height:1.1500000000000001;margin-top:0pt;margin-bottom:0pt;text-indent: 35.4pt;text-align: justify;""><span style=""font-family: Arial; color: rgb(0, 0, 0); font-style: italic; vertical-align: baseline; white-space: pre-wrap;"">Sobre el Duero, que pasaba lamiendo las carcomidas y oscuras piedras de las murallas de Soria, hay un puente que conduce de la ciudad al antiguo convento de los Templarios, cuyas posesiones se extendían a lo largo de la opuesta margen del río.</span></p><p dir=""ltr"" style=""line-height:1.1500000000000001;margin-top:0pt;margin-bottom:0pt;text-indent: 35.4pt;text-align: justify;""><span style=""font-family: Arial; color: rgb(0, 0, 0); font-style: italic; vertical-align: baseline; white-space: pre-wrap;"">En la época a que nos referimos, los caballeros de la Orden habían ya abandonado sus históricas fortalezas; pero aún quedaban en pie los restos de los anchos torreones de sus muros, aún se veían, como en parte se ven hoy, cubiertos de hiedra y campanillas blancas, los macizos arcos de su claustro, las prolongadas galerías ojivales de sus patios de armas, en las que suspiraba el viento con un gemido, agitando las altas hierbas.</span></p><p dir=""ltr"" style=""line-height:1.1500000000000001;margin-top:0pt;margin-bottom:0pt;text-indent: 35.4pt;text-align: justify;""><span style=""font-family: Arial; color: rgb(0, 0, 0); font-style: italic; vertical-align: baseline; white-space: pre-wrap;"">En los huertos y en los jardines, cuyos senderos no hollaban hacía muchos años las plantas de los religiosos, la vegetación, abandonada a sí misma, desplegaba todas sus galas, sin temor de que la mano del hombre la mutilase, creyendo embellecerla.</span></p><p dir=""ltr"" style=""line-height:1.1500000000000001;margin-top:0pt;margin-bottom:0pt;text-indent: 35.4pt;text-align: justify;""><span style=""font-family: Arial; color: rgb(0, 0, 0); font-style: italic; vertical-align: baseline; white-space: pre-wrap;"">Las plantas trepadoras subían encaramándose por los añosos troncos de los árboles; las sombrías calles de álamos, cuyas copas se tocaban y se confundían entre sí, se habían cubierto de césped; los cardos silvestres y las ortigas brotaban en medio de los enarenados caminos, y en dos trozos de fábrica, próximos a desplomarse, el jaramago, flotando al viento como el penacho de una cimera, y las campanillas blancas y azules, balanceándose como en un columpio sobre sus largos y flexibles tallos, pregonaban la victoria de la destrucción y la ruina.</span></p><p dir=""ltr"" style=""line-height:1.1500000000000001;margin-top:0pt;margin-bottom:0pt;text-indent: 35.4pt;text-align: justify;""><span style=""font-family: Arial; color: rgb(0, 0, 0); font-style: italic; vertical-align: baseline; white-space: pre-wrap;"">Era de noche; una noche de verano, templada, llena de perfumes y de rumores apacibles, y con una luna blanca y serena, en mitad de un cielo azul, luminoso y transparente.</span></p><p dir=""ltr"" style=""line-height:1.1500000000000001;margin-top:0pt;margin-bottom:0pt;text-indent: 35.4pt;text-align: justify;""><span style=""font-family: Arial; color: rgb(0, 0, 0); font-style: italic; vertical-align: baseline; white-space: pre-wrap;"">Manrique, presa su imaginación de un vértigo de poesía, después de atravesar el puente, desde donde contempló un momento la negra silueta de la ciudad, que se destacaba sobre el fondo de algunas nubes blanquecinas y ligeras arrolladas en el horizonte, se internó en las desiertas ruinas de los Templarios.</span></p><p dir=""ltr"" style=""line-height:1.1500000000000001;margin-top:0pt;margin-bottom:0pt;""><span style=""font-family: Arial; color: rgb(0, 0, 0); font-style: italic; vertical-align: baseline; white-space: pre-wrap;""><span class=""Apple-tab-span"" style=""white-space:pre;""> </span>La media noche tocaba a su punto. La luna, que se había ido remontando lentamente, estaba ya en lo más alto del cielo, cuando al entrar en una oscura alameda que conducía desde el derruido claustro a la margen del Duero, Manrique exhaló un grito leve y ahogado, mezcla extraña de sorpresa, de temor y de júbilo.</span></p><p dir=""ltr"" style=""line-height:1.1500000000000001;margin-top:0pt;margin-bottom:0pt;text-indent: 35.4pt;text-align: justify;""><span style=""font-family: Arial; color: rgb(0, 0, 0); font-style: italic; vertical-align: baseline; white-space: pre-wrap;"">En el fondo de la sombría alameda había visto agitarse una cosa blanca, que flotó un momento y desapareció en la oscuridad. La orla del traje de una mujer, de una mujer que había cruzado el sendero y se ocultaba entre el follaje, en el mismo instante en que el loco soñador de quimeras o imposibles penetraba en los jardines.</span></p><p dir=""ltr"" style=""line-height:1.1500000000000001;margin-top:0pt;margin-bottom:0pt;text-indent: 35.4pt;text-align: justify;""><span style=""font-family: Arial; color: rgb(0, 0, 0); font-style: italic; vertical-align: baseline; white-space: pre-wrap;"">-¡Una mujer desconocida!... ¡En este sitio!..., ¡A estas horas! Esa, esa es la mujer que yo busco -exclamó Manrique; y se lanzó en su seguimiento, rápido como una saeta.</span></p><p dir=""ltr"" style=""line-height:1.1500000000000001;margin-top:0pt;margin-bottom:0pt;text-indent: 35.4pt;text-align: justify;""><span style=""font-family: Arial; color: rgb(0, 0, 0); font-style: italic; vertical-align: baseline; white-space: pre-wrap;"">Llegó al punto en que había visto perderse entre la espesura de las ramas a la mujer misteriosa. Había desaparecido. ¿Por dónde? Allá lejos, muy lejos, creyó divisar por entre los cruzados troncos de los árboles como una claridad o una forma blanca que se movía.</span></p><p dir=""ltr"" style=""line-height:1.1500000000000001;margin-top:0pt;margin-bottom:0pt;text-indent: 35.4pt;text-align: justify;""><span style=""font-family: Arial; color: rgb(0, 0, 0); font-style: italic; vertical-align: baseline; white-space: pre-wrap;"">-¡Es ella, es ella, que lleva alas en los pies y huye como una sombra! -dijo, y se precipitó en su busca, separando con las manos las redes de hiedra que se extendían como un tapiz de unos en otros álamos. Llegó rompiendo por entre la maleza y las plantas parásitas hasta una especie de rellano que iluminaba la claridad del cielo... ¡Nadie! -¡Ah!, por aquí, por aquí va –exclamó entonces.- Oigo sus pisadas sobre las hojas secas, y el crujido de su traje que arrastra por el suelo y roza en los arbustos; -y corría y corría como un loco de aquí para allá, y no la veía. -Pero siguen sonando sus pisadas -murmuró otra vez;- creo que ha hablado; no hay duda, ha hablado... El viento que suspira entre las ramas; las hojas, que parece que rezan en voz baja, me han impedido oír lo que ha dicho; pero no hay duda, va por ahí, ha hablado... ha hablado...</span></p><p dir=""ltr"" style=""line-height:1.1500000000000001;margin-top:0pt;margin-bottom:0pt;text-align: justify;""><span style=""font-family: Arial; color: rgb(0, 0, 0); font-style: italic; vertical-align: baseline; white-space: pre-wrap;"">¿En qué idioma? No sé, pero es una lengua extranjera...</span></p><p dir=""ltr"" style=""line-height:1.1500000000000001;margin-top:0pt;margin-bottom:0pt;text-indent: 35.4pt;text-align: justify;""><span style=""font-family: Arial; color: rgb(0, 0, 0); font-style: italic; vertical-align: baseline; white-space: pre-wrap;"">Y tornó a correr en su seguimiento, unas veces creyendo verla, otras pensando oírla; ya notando que las ramas, por entre las cuales había desaparecido, se movían; ya imaginando distinguir en la arena la huella de sus propios pies; luego, firmemente persuadido de que un perfume especial que aspiraba a intervalos era un aroma perteneciente a aquella mujer que se burlaba de él, complaciéndose en huirle por entre aquellas intrincadas malezas. ¡Afán inútil!</span></p><p dir=""ltr"" style=""line-height:1.1500000000000001;margin-top:0pt;margin-bottom:0pt;text-indent: 35.4pt;text-align: justify;""><span style=""font-family: Arial; color: rgb(0, 0, 0); font-style: italic; vertical-align: baseline; white-space: pre-wrap;"">Vagó algunas horas de un lado a otro fuera de sí, ya parándose para escuchar, ya deslizándose con las mayores precauciones sobre la hierba, ya en una carrera frenética y desesperada, sin dar con ella.</span></p><p dir=""ltr"" style=""line-height:1.1500000000000001;margin-top:0pt;margin-bottom:0pt;text-align: justify;""><span style=""font-family: Arial; color: rgb(0, 0, 0); font-style: italic; vertical-align: baseline; white-space: pre-wrap;"">-Yo la he de encontrar, la he de encontrar. ¿Cómo serán sus ojos?... Deben de ser azules, azules y húmedos como el cielo de la noche; me gustan tanto los ojos de ese color; son tan expresivos, tan melancólicos, tan... Sí... no hay duda; azules deben de ser, azules son, seguramente; y sus cabellos negros, muy negros y largos para que floten... Me parece que los vi flotar aquella noche, al par que su traje, y eran negros... no me engaño, no; eran negros. ¡Su voz!... su voz la he oído... su voz es suave como el rumor del viento en las hojas de los álamos, y su andar acompasado y majestuoso como las cadencias de una música. Y esa mujer, que es hermosa como el más hermoso de mis sueños de adolescente, que piensa como yo pienso, que gusta como yo gusto, que odia lo que yo odio, que es un espíritu humano de mi espíritu, que es el complemento de mi ser, ¿no se ha de sentir conmovida al encontrarme? ¿No me ha de amar como yo la amaré, como la amo ya, con todas las fuerzas de mi vida, con todas las facultades de mi alma?</span></p><p dir=""ltr"" style=""line-height:1.1500000000000001;margin-top:0pt;margin-bottom:0pt;text-indent: 35.4pt;text-align: justify;""><span style=""font-family: Arial; color: rgb(0, 0, 0); font-style: italic; vertical-align: baseline; white-space: pre-wrap;"">Dos meses habían transcurrido desde que el escudero de D. Alonso de Valdecuellos desengañó al iluso Manrique; dos meses durante los cuales en cada hora había formado un castillo en el aire, que la realidad desvanecía con un soplo; dos meses, durante los cuales había buscado en vano a aquella mujer desconocida, cuyo absurdo amor iba creciendo en su alma, merced a sus aún más absurdas imaginaciones, cuando después de atravesar absorto en estas ideas el puente que conduce a los Templarios, el enamorado joven se perdió entre las intrincadas sendas de sus jardines.</span></p><p dir=""ltr"" style=""line-height:1.1500000000000001;margin-top:0pt;margin-bottom:0pt;text-indent: 35.4pt;text-align: justify;""><span style=""font-family: Arial; color: rgb(0, 0, 0); font-style: italic; vertical-align: baseline; white-space: pre-wrap;"">La noche estaba serena y hermosa, la luna brillaba en toda su plenitud en lo más alto del cielo, y el viento suspiraba con un rumor dulcísimo entre las hojas de los árboles.</span></p><p dir=""ltr"" style=""line-height:1.1500000000000001;margin-top:0pt;margin-bottom:0pt;text-indent: 35.4pt;text-align: justify;""><span style=""font-family: Arial; color: rgb(0, 0, 0); font-style: italic; vertical-align: baseline; white-space: pre-wrap;"">Manrique llegó al claustro, tendió la vista por su recinto y miró a través de las macizas columnas de sus arcadas... Estaba desierto. Salió de él encaminó sus pasos hacia la oscura alameda que conduce al Duero, y aún no había penetrado en ella, cuando de sus labios se escapó un grito de júbilo.</span></p><p dir=""ltr"" style=""line-height:1.1500000000000001;margin-top:0pt;margin-bottom:0pt;text-indent: 35.4pt;text-align: justify;""><span style=""font-family: Arial; color: rgb(0, 0, 0); font-style: italic; vertical-align: baseline; white-space: pre-wrap;"">Había visto flotar un instante y desaparecer el extremo del traje blanco, del traje blanco de la mujer de sus sueños, de la mujer que ya amaba como un loco.</span></p><p dir=""ltr"" style=""line-height:1.1500000000000001;margin-top:0pt;margin-bottom:0pt;text-indent: 35.4pt;text-align: justify;""><span style=""font-family: Arial; color: rgb(0, 0, 0); font-style: italic; vertical-align: baseline; white-space: pre-wrap;"">Corre, corre en su busca, llega al sitio en que la ha visto desaparecer; pero al llegar se detiene, fija los espantados ojos en el suelo, permanece un rato inmóvil; un ligero temblor nervioso agita sus miembros, un temblor que va creciendo, que va creciendo y ofrece los síntomas de una verdadera convulsión, y prorrumpe al fin una carcajada, una carcajada sonora, estridente, horrible.</span></p><p dir=""ltr"" style=""line-height:1.1500000000000001;margin-top:0pt;margin-bottom:0pt;text-indent: 35.4pt;text-align: justify;""><span style=""font-family: Arial; color: rgb(0, 0, 0); font-style: italic; vertical-align: baseline; white-space: pre-wrap;"">Aquella cosa blanca, ligera, flotante, había vuelto a brillar ante sus ojos, pero había brillado a sus pies un instante, no más que un instante.</span></p><p dir=""ltr"" style=""line-height:1.1500000000000001;margin-top:0pt;margin-bottom:0pt;text-indent: 35.4pt;text-align: justify;""><span style=""font-family: Arial; color: rgb(0, 0, 0); font-style: italic; vertical-align: baseline; white-space: pre-wrap;"">Era un rayo de luna, un rayo de luna que penetraba a intervalos por entre la verde bóveda de los árboles cuando el viento movía sus ramas.</span></p><div><span style=""font-family: Arial; color: rgb(0, 0, 0); font-style: italic; vertical-align: baseline; white-space: pre-wrap;""><br></span></div></span>",Lea la siguiente leyenda soriana del escritor Gustavo Adolfo Bécquer.,10,survey_survey_5
survey_page_8,,Preguntas,11,survey_survey_5
survey_page_21,"<section class=""oe_dark mt16 mb16""><div class=""container""> <div class=""row""> <div class=""col-md-12""><img class=""img img-responsive"" src=""/website/image?max_height=768&amp;field=datas&amp;model=ir.attachment&amp;id=32&amp;max_width=1024"" style=""margin: 0 auto;""></div> </div> </div> </section>",2) En la figura se observa un cuadrado de 2m de lado y dentro del mismo otro cuadrado más pequeño. ¿Cuál es la superficie sombreada? ,11,survey_survey_6
survey_page_22,,"3)  Una tortuga se desplaza sobre la recta numérica. Sale del el origen de la recta y recorre 5 unidades hacia la derecha. Descansa un momento, y sigue avanzando 3 unidades más en el mismo sentido. Al final emprende el regreso, desplazándose 10  unidades en sentido contrario.",12,survey_survey_6
survey_page_10,,Preguntas,12,survey_survey_5
survey_page_23,,"4) Martín tiene cierta cantidad de figuritas. Si las agrupa de a 4 o 5, le sobran 2, y si las agrupa de a 3 le sobra 1. ¿Cuántas figuritas tendrá si sabe que son menos de 50?",13,survey_survey_6
survey_page_9,,Preguntas,13,survey_survey_5
