id,answer_id/id,question_id/id,score
survey_matrix_answer_score_1,survey_label_112,survey_label_125,1
survey_matrix_answer_score_2,survey_label_115,survey_label_119,1
survey_matrix_answer_score_3,survey_label_118,survey_label_120,1
survey_matrix_answer_score_4,survey_label_113,survey_label_121,1
survey_matrix_answer_score_5,survey_label_114,survey_label_122,1
survey_matrix_answer_score_6,survey_label_116,survey_label_123,1
survey_matrix_answer_score_7,survey_label_117,survey_label_124,1
survey_matrix_answer_score_8,survey_label_127,survey_label_130,1
survey_matrix_answer_score_9,survey_label_129,survey_label_131,1
survey_matrix_answer_score_10,survey_label_127,survey_label_132,1
survey_matrix_answer_score_11,survey_label_127,survey_label_133,1
survey_matrix_answer_score_12,survey_label_128,survey_label_134,1
survey_matrix_answer_score_13,survey_label_127,survey_label_135,1
survey_matrix_answer_score_14,survey_label_128,survey_label_136,1
survey_matrix_answer_score_15,survey_label_128,survey_label_137,1
survey_matrix_answer_score_16,survey_label_128,survey_label_138,1
survey_matrix_answer_score_17,survey_label_127,survey_label_139,1
survey_matrix_answer_score_18,survey_label_146,survey_label_148,1
survey_matrix_answer_score_19,survey_label_146,survey_label_149,1
survey_matrix_answer_score_20,survey_label_147,survey_label_150,1
survey_matrix_answer_score_21,survey_label_147,survey_label_151,1
survey_matrix_answer_score_22,survey_label_146,survey_label_152,1
survey_matrix_answer_score_23,survey_label_147,survey_label_153,1
survey_matrix_answer_score_24,survey_label_147,survey_label_154,1
survey_matrix_answer_score_25,survey_label_147,survey_label_155,1
survey_matrix_answer_score_26,survey_label_146,survey_label_156,1
survey_matrix_answer_score_27,survey_label_147,survey_label_157,1
