id,description,display_mode,matrix_subtype,column_nb,objective_id/id,question,type,score_calc_method,sequence,survey_id/id,page_id/id
survey_question_37,,columns,simple,12,,¿A qué punto llegó?,simple_choice,,10,survey_survey_6,survey_page_22
survey_question_14,,columns,simple,12,,Porcentaje de horas de clase dadas,simple_choice,,10,survey_survey_4,survey_page_5
survey_question_15,,columns,simple,12,,Porcentaje de temas desarrollados sobre planificación anual,simple_choice,,10,survey_survey_4,survey_page_5
survey_question_19,,columns,simple,12,,Porcentaje del tiempo asignado a Temas,simple_choice,,10,survey_survey_2,survey_page_6
survey_question_39,,columns,simple,12,,Indicar cuál de las opciones es correcta.,simple_choice,,10,survey_survey_6,survey_page_24
survey_question_40,,columns,simple,12,,¿Qué número se debería colocar en la línea de puntos para verificar la igualdad?,simple_choice,,10,survey_survey_6,survey_page_25
survey_question_18,,columns,simple,12,,Entrevistas con los docentes respectivos,simple_choice,,10,survey_survey_2,survey_page_6
survey_question_20,,columns,simple,12,,Porcentaje sobre cantidad de alumnos con 2 entrevistas,simple_choice,,10,survey_survey_2,survey_page_6
survey_question_21,<p>Indique en que porcentaje de las reuniones ha participado el matrimonio (y no solo el padre o la madre)</p>,columns,simple,12,,Porcentaje de asistencia Matrimonio,simple_choice,,10,survey_survey_2,survey_page_6
survey_question_28,,columns,simple,12,survey_objective_3,6) El mundo sentimental del protagonista parece reflejarse en la naturaleza que lo rodea. ¿Cómo es el paisaje y cómo es el alma de Manrique? Lee con mucha atención las siguientes afirmaciones e indica si son verdaderas (V) o falsas (F).,matrix,Ranges,10,survey_survey_5,survey_page_12
survey_question_27,,columns,simple,12,survey_objective_3,"5) Manrique se enamora de una mujer irreal, que él mismo va construyendo con su imaginación. ¿Cuál de las siguientes descripciones se corresponde mejor con ese arquetipo femenino?",simple_choice,,10,survey_survey_5,survey_page_11
survey_question_25,,columns,simple,12,survey_objective_3,"3) Manrique, el protagonista, es un joven con una  personalidad compleja. Observe los cuadros y trate de reconstruir los enunciados que mejor lo describen, indicando el número de cada una de las partes que componen cada frase.",matrix,Ranges,10,survey_survey_5,survey_page_9
survey_question_30,,columns,simple,12,survey_objective_3,"8) “… el insólito clamor de una trompa de guerra no le hubiera hecho levantar la cabeza un instante ni apartar sus ojos un punto del oscuro pergamino en que leía la última cantiga de un trovador.” En esta cita se da a entender una característica de la personalidad de Manrique, indica cuál de estas expresiones la describe mejor.",simple_choice,,10,survey_survey_5,survey_page_14
survey_question_26,,columns,simple,12,survey_objective_1,"4) Manrique corre de un lado a otro persiguiendo a un fantasma que cree real, pero sus sentidos lo engañan.  ¿Con cuál de los sentidos percibe el personaje los  indicios de la existencia de la dama? Marque con una cruz en la columna correspondiente.",matrix,Ranges,10,survey_survey_5,survey_page_10
survey_question_34,"<div>(..) cuyo absurdo amor iba creciendo en su alma, merced a sus aún más absurdas imaginaciones</div><div>¿Cuál es el significado de esta palabra? Marca los conceptos tengan un sentido semejante al mismo:</div>",columns,simple,12,,"12) En esta frase aparece un mismo término referido a dos elementos distintos, ",multiple_choice,Ranges,10,survey_survey_5,survey_page_18
survey_question_29,,columns,simple,12,survey_objective_2,"7) La leyenda tiene un final abierto que permite al lector aventurar cuál será el destino de Manrique después del desengaño. Para elegir la opción correcta recuerda que  se trata de un amor furioso y ciego, que tiene poco que ver con la realidad y que implica una actitud melancólica, de ensueño irrealizable del alma tímida del poeta frente a una amada imposible. ",simple_choice,,10,survey_survey_5,survey_page_13
survey_question_32,,columns,simple,12,survey_objective_2,"10) Las leyendas constituyen una tipología textual con características propias, señala con una cruz cuál de estas características aparece en el texto leído.",multiple_choice,Ranges,10,survey_survey_5,survey_page_16
survey_question_35,,columns,simple,12,,¿Bajó o subió? ¿Cuántos metros?,simple_choice,,10,survey_survey_6,survey_page_20
survey_question_31,,columns,simple,12,survey_objective_3,"9) El narrador califica a Manrique como “absorto” en una frase del texto, esta calificación se le da porque:",simple_choice,,10,survey_survey_5,survey_page_15
survey_question_33,,columns,simple,12,,"11) En la expresión: “trompa de guerra”, el término “trompa” se  refiere a:",simple_choice,,10,survey_survey_5,survey_page_17
survey_question_22,,columns,simple,12,survey_objective_1,1. ¿Dónde se localiza esta leyenda de Gustavo Adolfo Bécquer?,simple_choice,,10,survey_survey_5,survey_page_8
survey_question_23,,columns,simple,12,survey_objective_1,2.A. ¿Cuánto tiempo transcurre entre el momento en que Manrique cree ver a la misteriosa dama paseando entre las ruinas de los Templarios y el momento de su desengaño?,simple_choice,,10,survey_survey_5,survey_page_8
survey_question_36,,columns,simple,12,,¿Cuál es la superficie sombreada? ,simple_choice,,10,survey_survey_6,survey_page_21
survey_question_24,,columns,simple,12,survey_objective_1,2.B. ¿En qué momento del año nos encontramos?,simple_choice,,10,survey_survey_5,survey_page_8
survey_question_38,,columns,simple,12,,¿Cuántas figuritas tendrá si sabe que son menos de 50?,simple_choice,,10,survey_survey_6,survey_page_23
survey_question_16,,columns,simple,12,,Proyectos específicos,simple_choice,,11,survey_survey_4,survey_page_5
survey_question_17,,columns,simple,12,,Capacitación pertinente,simple_choice,,12,survey_survey_4,survey_page_5
